Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,experiment_type,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,Line,molecule_subtype
SRR8763824,RNA-Seq,50,2261236600,PRJNA528488,SAMN11191860,709582773,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554408,Ribosome footprints,GSM3682439,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:27:00Z,1,GSM3682439,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763825,RNA-Seq,51,2186027688,PRJNA528488,SAMN11191859,738945627,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554409,Ribosome footprints,GSM3682440,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:27:00Z,1,GSM3682440,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763826,RNA-Seq,50,2962905950,PRJNA528488,SAMN11191859,926940968,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554409,Ribosome footprints,GSM3682440,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:31:00Z,1,GSM3682440,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763827,RNA-Seq,51,1923747030,PRJNA528488,SAMN11191712,657795762,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554410,Ribosome footprints,GSM3682441,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:26:00Z,1,GSM3682441,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763828,RNA-Seq,50,2352612600,PRJNA528488,SAMN11191712,741487103,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554410,Ribosome footprints,GSM3682441,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:27:00Z,1,GSM3682441,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763829,RNA-Seq,51,1967306895,PRJNA528488,SAMN11191711,666294485,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554411,Ribosome footprints,GSM3682442,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:27:00Z,1,GSM3682442,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763830,RNA-Seq,50,2549293050,PRJNA528488,SAMN11191711,796948020,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554411,Ribosome footprints,GSM3682442,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:28:00Z,1,GSM3682442,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763831,RNA-Seq,51,1635173169,PRJNA528488,SAMN11191710,559037539,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554412,Ribosome footprints,GSM3682443,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:24:00Z,1,GSM3682443,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763832,RNA-Seq,50,2239243550,PRJNA528488,SAMN11191710,705024776,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554412,Ribosome footprints,GSM3682443,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:28:00Z,1,GSM3682443,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763833,RNA-Seq,51,1716987471,PRJNA528488,SAMN11191709,588147310,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554413,Ribosome footprints,GSM3682444,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:24:00Z,1,GSM3682444,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
SRR8763834,RNA-Seq,50,2588860600,PRJNA528488,SAMN11191709,817750894,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554413,Ribosome footprints,GSM3682444,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:31:00Z,1,GSM3682444,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
